,index,book_title,author_id,Year released,Rating,ratings
8,611,"The Countess Conspiracy (Brothers Sinister, #3)",113.0,2013,3.92,11711.0
9,612,The Light We Lost (Hardcover),273.0,2017,3.87,131246.0
10,613,"Born in Ice (Born In Trilogy, #2)",93.0,1995,4.16,36638.0
11,615,"A Lady by Midnight (Spindle Cove, #3)",72.0,2012,3.87,18785.0
12,616,"All the Feels (Spoiler Alert, #2)",83.0,2021,3.92,15136.0
13,617,Dating You / Hating You (Paperback),9.0,2017,3.63,27840.0
14,618,Practice Makes Perfect (Mass Market Paperback),168.0,2009,3.96,31107.0
15,620,"Twisted Palace (The Royals, #3)",96.0,2016,3.93,67980.0
16,621,"Fire (Graceling Realm, #2)",94.0,2009,4.1,177298.0
17,623,Before We Were Strangers (Paperback),274.0,2015,4.21,55835.0
18,624,"Dead as a Doornail (Sookie Stackhouse, #5)",292.0,2005,4.0,212808.0
19,625,Dear Aaron (Kindle Edition),35.0,2017,3.95,40646.0
20,627,"Sorcery of Thorns (Sorcery of Thorns, #1)",241.0,2019,4.08,96114.0
21,628,The Problem with Forever (Hardcover),55.0,2016,4.0,52500.0
22,629,"Face the Fire (Three Sisters Island, #3)",93.0,2002,4.15,39714.0
23,630,"Boyfriend Material (London Calling, #1)",80.0,2020,4.09,81106.0
24,633,"The Wisteria Society of Lady Scoundrels (Dangerous Damsels, #1)",276.0,2021,3.74,15428.0
25,634,"Moon Called (Mercy Thompson, #1)",267.0,2006,4.14,196203.0
26,635,After I Do (Paperback),18.0,2014,3.99,74312.0
27,636,"In Bed with a Highlander (McCabe Trilogy, #1)",254.0,2011,3.98,33404.0
28,638,"Hello Stranger (The Ravenels, #4)",68.0,2018,4.06,23454.0
29,639,"Lover Reborn (Black Dagger Brotherhood, #10)",42.0,2012,4.33,80075.0
30,640,"Rush (Breathless, #1)",254.0,2013,3.91,75310.0
31,641,"Priest (Priest, #1)",277.0,2015,3.76,58593.0
32,642,"Forever (The Wolves of Mercy Falls, #3)",292.0,2011,3.89,120152.0
33,643,"The Bookshop on the Corner (Scottish Bookshop, #1)",278.0,2016,3.84,73591.0
34,644,Layla (Kindle Edition),7.0,2020,3.75,198655.0
35,645,The No-Show (Paperback),23.0,2022,3.9,35240.0
36,647,"After We Fell (After, #3)",102.0,2014,3.83,125212.0
37,648,"Across the Universe (Across the Universe, #1)",279.0,2011,3.77,117352.0
38,649,Funny You Should Ask (Paperback),292.0,2022,3.78,43861.0
39,650,"Dreams of Gods & Monsters (Daughter of Smoke & Bone, #3)",70.0,2014,4.13,102978.0
40,651,"Idol (VIP, #1)",251.0,2016,4.0,33894.0
41,652,"A Deal with the Elf King (Married to Magic, #1)",281.0,2020,3.77,61780.0
42,653,"Rising Tides (Chesapeake Bay Saga, #2)",292.0,1998,4.16,32651.0
43,655,"True Believer (Jeremy Marsh & Lexie Darnell, #1)",14.0,2003,3.81,84084.0
44,656,"If the Shoe Fits (Meant to Be, #1)",283.0,2021,4.02,24503.0
45,658,"Terms and Conditions  (Dreamland Billionaires, #2)",127.0,2022,4.27,78931.0
46,659,A Pho Love Story (Hardcover),284.0,2021,3.71,15200.0
47,660,"Devil's Daughter (The Ravenels, #5)",292.0,2019,4.15,23397.0
48,663,"A Wallflower Christmas (Wallflowers, #4.5)",68.0,2008,3.87,24035.0
49,664,Eliza and Her Monsters (Hardcover),286.0,2017,4.16,60125.0
50,666,"The Boyfriend Project (The Boyfriend Project, #1)",287.0,2020,3.58,14233.0
51,667,"Crooked Kingdom (Six of Crows, #2)",78.0,2016,4.61,477098.0
52,671,"Origin (Lux, #4)",55.0,2013,4.34,106214.0
53,673,"Eleven Scandals to Start to Win a Duke's Heart (Love By Numbers, #3)",104.0,2011,4.0,26960.0
54,674,"No Good Duke Goes Unpunished (The Rules of Scoundrels, #3)",292.0,2013,3.86,20338.0
55,675,"Heart of the Sea (Gallaghers of Ardmore, #3)",93.0,2000,4.15,30801.0
56,676,Hani and Ishu's Guide to Fake Dating (Kindle Edition),290.0,2021,4.15,21328.0
57,677,"The Book of Life (All Souls, #3)",71.0,2014,4.19,171986.0
58,678,"Unearthly (Unearthly, #1)",291.0,2011,4.01,126498.0
59,679,Holding Up the Universe (Hardcover),66.0,2016,3.76,105375.0
60,680,"Never Judge a Lady by Her Cover (The Rules of Scoundrels, #4)",104.0,2014,3.96,19315.0
61,681,"Visions of Heat (Psy-Changeling, #2)",151.0,2007,4.08,38315.0
62,682,"Definitely Dead (Sookie Stackhouse, #6)",99.0,2006,4.01,198979.0
63,683,"The Girl with the Make-Believe Husband (Rokesbys, #2)",20.0,2017,3.94,31086.0
64,684,The Song of Achilles (Paperback),32.0,2011,4.38,950167.0
65,685,"Illuminae (The Illuminae Files, #1)",217.0,2015,4.25,141918.0
66,686,"Morrigan's Cross (Circle Trilogy, #1)",93.0,2006,4.14,52998.0
67,687,"Born in Shame (Born In Trilogy, #3)",93.0,1996,4.1,34165.0
68,688,"Red Lily (In the Garden, #3)",93.0,2005,4.08,38459.0
69,690,"The Play (Briar U, #3)",21.0,2019,4.07,59152.0
70,691,"The Raven Prince (Princes Trilogy, #1)",293.0,2006,3.95,22313.0
71,692,Midnight Sun [2008 Draft] (ebook),3.0,2008,4.01,149452.0
72,693,"China Rich Girlfriend (Crazy Rich Asians, #2)",67.0,2015,3.84,188682.0
73,694,"Always Only You (Bergman Brothers, #2)",232.0,2020,4.05,24067.0
74,695,"Kiss of the Highlander (Highlander, #4)",156.0,2001,4.3,41767.0
75,696,This Time Next Year (Kindle Edition),294.0,2020,3.85,71158.0
76,697,"Throttled (Dirty Air, #1)",127.0,2020,3.88,67884.0
77,698,"Tokyo Ever After (Tokyo Ever After, #1)",295.0,2021,3.96,31215.0
78,699,"Pretty Reckless (All Saints High, #1)",132.0,2019,4.12,56819.0
79,700,"Ten Things I Love About You (Bevelstoke, #3)",20.0,2010,3.99,24867.0
80,701,Stepbrother Dearest (Paperback),261.0,2014,4.06,66152.0
